Vertragsnummer,Vertragsbeginn,Vertragsende,Vertragsstatus
179869078cea,2023-10-31,2024-10-30,abgelaufen
990c37afd7ac,2021-11-04,2022-11-04,gekündigt
dc8596049be2,2022-11-10,,aktiv
0f20ad62dd6d,2020-12-04,2021-12-04,gekündigt
23d4ddba925f,2022-09-14,2023-09-14,gekündigt
dedb67a33cf4,2023-11-09,,aktiv
4af20831ea0c,2021-05-26,2022-05-26,gekündigt
aecb00fd34d9,2020-04-02,2021-04-02,gekündigt
c3104d6c15b8,2022-03-27,,aktiv
bfcf1619ab87,2024-08-17,2025-08-17,abgelaufen
1045905e127b,2023-07-08,2024-07-07,gekündigt
f1911de446ef,2021-02-21,2022-02-21,abgelaufen
e721f13d3a41,2020-01-04,,aktiv
832ab279db9d,2020-12-02,2021-12-02,gekündigt
a8aab1d84fe7,2021-10-01,2022-10-01,abgelaufen
adc55ec7054c,2020-10-24,2021-10-24,gekündigt
a37871fe4513,2020-02-27,,aktiv
5ccc3b4a9c27,2021-04-01,2022-04-01,gekündigt
68fb5ae32405,2022-08-16,2023-08-16,abgelaufen
b7333cfd3d64,2022-07-01,,aktiv
ac2c4f2add0a,2022-10-26,,aktiv
f905bd62e335,2020-02-09,2021-02-08,abgelaufen
d6386eedb84a,2023-10-07,2024-10-06,abgelaufen
054b11124176,2023-02-16,,aktiv
e4b4b09d3484,2024-05-27,2025-05-27,gekündigt
2d0953d59a11,2020-08-04,2021-08-04,abgelaufen
57f37eaa20a2,2020-11-18,,aktiv
1b927f976a57,2024-09-20,,aktiv
dcb7485e6428,2022-05-18,,aktiv
8d53ffa3f8ab,2021-03-17,2022-03-17,gekündigt
9e079bd5f16f,2024-03-06,2025-03-06,gekündigt
d374016013cb,2021-12-18,2022-12-18,gekündigt
399292cf7e1c,2020-01-24,2021-01-23,abgelaufen
ba244cc99fbc,2021-04-17,2022-04-17,gekündigt
0d8fda750c62,2020-03-22,2021-03-22,gekündigt
e5f5444719a5,2021-11-18,2022-11-18,abgelaufen
cae1180d8cc3,2024-01-07,2025-01-06,abgelaufen
71cbb334700e,2020-07-25,,aktiv
f798fe63cce6,2023-01-13,,aktiv
54f7fb06bd6f,2023-05-13,2024-05-12,abgelaufen
0aae549791ad,2024-12-28,,aktiv
605c53f7e337,2022-02-26,,aktiv
3fc779261bc3,2021-01-19,,aktiv
16ef81772954,2024-04-24,,aktiv
c5d75c3f3a1a,2021-07-02,2022-07-02,abgelaufen
9d134afbb749,2022-08-13,2023-08-13,gekündigt
494aeee54566,2022-10-07,2023-10-07,gekündigt
4d6b73ae4421,2023-05-31,2024-05-30,abgelaufen
6a64dfee1620,2022-12-17,2023-12-17,abgelaufen
118eb67a3a5b,2021-06-04,2022-06-04,abgelaufen
083f6eb95527,2023-09-03,,aktiv
01319147617e,2023-01-14,2024-01-14,abgelaufen
cef3ea4b596c,2024-08-22,,aktiv
c8f8214f2f4e,2021-02-20,2022-02-20,abgelaufen
5e3bc247cb3d,2021-01-01,2022-01-01,gekündigt
90d7a0d53ed1,2023-09-17,,aktiv
ce3a553efcba,2022-04-10,,aktiv
b77141ca457d,2020-07-29,,aktiv
7d78d369101e,2022-10-12,,aktiv
bc07f5d52edd,2022-09-11,,aktiv
c4c71656cee7,2022-07-11,2023-07-11,abgelaufen
fc00738ad47f,2021-11-15,,aktiv
fd0c1645b0f1,2022-06-12,,aktiv
9040493bafac,2022-08-17,2023-08-17,gekündigt
5caacd5d00f4,2020-08-08,,aktiv
2ec17789cc9e,2022-01-22,2023-01-22,gekündigt
a0b60eb923fd,2022-12-25,2023-12-25,gekündigt
3d2c857358bb,2020-07-22,2021-07-22,abgelaufen
6c5952428edc,2024-08-26,2025-08-26,abgelaufen
77579a25378d,2021-04-30,2022-04-30,abgelaufen
a0ce95e2081b,2022-07-22,2023-07-22,abgelaufen
f8070ff99f32,2020-03-28,2021-03-28,gekündigt
9bf8f5d54c25,2020-11-03,2021-11-03,gekündigt
2da73acc02ff,2020-03-03,,aktiv
0491f3a9ce5f,2021-08-12,,aktiv
a22f50f9c7e1,2024-09-14,2025-09-14,gekündigt
76746039c6dd,2020-05-27,2021-05-27,abgelaufen
e96216d7dff6,2021-08-19,2022-08-19,gekündigt
21cc60d0d66f,2021-09-20,,aktiv
33271573a6d6,2023-05-15,2024-05-14,abgelaufen
4793fc4db6cd,2021-02-20,,aktiv
76e1777d5eaf,2020-08-07,2021-08-07,gekündigt
da5e529a6dd3,2024-06-23,2025-06-23,abgelaufen
7e70bed886bf,2022-04-09,,aktiv
bb47cbc1eb19,2022-03-07,,aktiv
05963596670d,2020-05-30,2021-05-30,abgelaufen
81e52b36a403,2022-10-11,,aktiv
b19e721f14cc,2020-07-17,,aktiv
64aef0dd00e0,2023-04-10,2024-04-09,abgelaufen
1f49cc3a0562,2022-10-14,2023-10-14,abgelaufen
26035a2ee32f,2021-04-05,,aktiv
60911f6c300e,2020-06-25,2021-06-25,abgelaufen
eb61486a2cbd,2021-05-03,2022-05-03,gekündigt
b678f93c6626,2023-06-12,2024-06-11,abgelaufen
157cf513f6cb,2022-11-06,,aktiv
ca7ca8f5487f,2022-05-12,,aktiv
7af780304e7e,2022-12-31,2023-12-31,abgelaufen
7a9be5a526da,2023-11-16,,aktiv
c9c43ac2c296,2024-09-08,2025-09-08,gekündigt
6c35f5139567,2021-10-31,2022-10-31,abgelaufen
f6a0f10808e3,2024-04-08,2025-04-08,abgelaufen
d201b0b63af5,2022-08-16,2023-08-16,gekündigt
b39f57144f34,2023-02-26,2024-02-26,gekündigt
41eb649167e1,2021-03-23,2022-03-23,gekündigt
e1dcbd4210df,2023-09-20,,aktiv
a034544caee3,2023-09-13,,aktiv
69b39c0c4333,2022-03-17,,aktiv
78c476ee6807,2024-10-31,2025-10-31,gekündigt
d0570a1ce9e3,2023-05-23,2024-05-22,abgelaufen
8b473d43253b,2024-04-21,2025-04-21,abgelaufen
2a625867eb4d,2021-01-27,,aktiv
fdaae5adf9e4,2020-03-07,2021-03-07,abgelaufen
b91e3397c3cd,2023-01-09,2024-01-09,abgelaufen
92a59e082c46,2023-02-23,2024-02-23,abgelaufen
c6449ff23c08,2023-05-31,2024-05-30,gekündigt
86b7389ffa9e,2022-08-09,2023-08-09,gekündigt
ed6cfb7c3458,2023-08-26,,aktiv
1badb128e2c4,2020-10-18,2021-10-18,gekündigt
22e24f0f41b5,2024-09-11,2025-09-11,gekündigt
ccac6d7ab73c,2024-02-14,,aktiv
9140df04764c,2020-10-18,2021-10-18,gekündigt
dd993aa299ea,2022-08-10,2023-08-10,gekündigt
188aac669fe7,2021-09-11,2022-09-11,gekündigt
d2f5a837d3b2,2020-11-13,2021-11-13,gekündigt
edc9da518614,2022-09-26,2023-09-26,abgelaufen
5ee45a57fc95,2024-05-17,2025-05-17,abgelaufen
c4ec16b55e8e,2022-10-16,,aktiv
92002cc6c0a2,2023-08-10,,aktiv
ba4769e6e6ce,2022-02-24,2023-02-24,abgelaufen
00c122eeb8e1,2021-02-10,2022-02-10,gekündigt
ee60eafd744d,2023-09-23,2024-09-22,abgelaufen
e3c5a8d781d0,2020-05-23,2021-05-23,gekündigt
a22a923533b0,2021-05-25,2022-05-25,gekündigt
bbe5ca04133d,2020-06-06,2021-06-06,gekündigt
3864ef1c25d1,2023-08-13,2024-08-12,gekündigt
ddc5443e05fd,2024-12-15,2025-12-15,abgelaufen
07b503b49799,2021-02-18,2022-02-18,gekündigt
8813d7fdf84a,2024-01-24,2025-01-23,gekündigt
62aa9f9564a1,2024-09-04,2025-09-04,gekündigt
157269ed43f8,2022-07-07,2023-07-07,abgelaufen
1f15c414e60a,2023-02-19,,aktiv
b420a6a903fa,2021-12-20,2022-12-20,abgelaufen
b6070662c0a1,2024-11-05,2025-11-05,abgelaufen
e47360913d99,2023-07-29,2024-07-28,gekündigt
b13df80fc97a,2022-10-05,,aktiv
5c7c8c1c966b,2022-07-21,,aktiv
2ea6f6779cae,2024-07-04,,aktiv
c73e13ec6984,2020-10-21,,aktiv
356488e5fd6c,2023-08-17,,aktiv
a0e38e1a70dd,2021-09-27,,aktiv
eac44970cef8,2020-06-24,,aktiv
5c4811e72971,2021-09-12,2022-09-12,abgelaufen
2847c1db8514,2023-06-05,2024-06-04,gekündigt
5db2c4fcce23,2024-05-25,2025-05-25,gekündigt
e6c9f69be71b,2022-09-22,2023-09-22,abgelaufen
6dda4f92e2c5,2024-01-08,2025-01-07,gekündigt
c599386e6239,2020-05-04,,aktiv
c941f33477e9,2024-03-31,,aktiv
2dbe786da9d2,2024-05-17,2025-05-17,gekündigt
c5b932df495e,2023-05-17,2024-05-16,abgelaufen
316e2ee2e782,2022-10-21,2023-10-21,abgelaufen
c5a66b6234a7,2024-11-02,,aktiv
3b3ca4835889,2020-02-25,,aktiv
6ee85c8aa9b9,2020-03-21,,aktiv
ae877ae8b664,2020-09-05,,aktiv
3a1f11f1b24e,2022-05-03,2023-05-03,gekündigt
94acab3e2c2b,2024-01-13,2025-01-12,gekündigt
72237895415d,2022-09-02,,aktiv
7186ac4e9b21,2020-05-10,,aktiv
bf1ac6aba866,2024-11-16,2025-11-16,abgelaufen
5b239065ffb6,2021-08-25,2022-08-25,gekündigt
29540e656d47,2024-09-30,2025-09-30,gekündigt
b3a81e2ee33c,2023-05-31,2024-05-30,gekündigt
fe4e640e6ad2,2021-03-29,,aktiv
6d96af72f016,2022-04-11,2023-04-11,gekündigt
68e3135e0af3,2021-11-19,2022-11-19,abgelaufen
c473457a191c,2023-07-05,,aktiv
ca5b4a9bf193,2022-08-01,,aktiv
1cade2ac1acb,2021-02-03,2022-02-03,abgelaufen
8e66fb60f3a4,2023-08-22,2024-08-21,abgelaufen
0065ef42572b,2021-01-09,,aktiv
c5ed25c1c894,2020-11-19,2021-11-19,abgelaufen
2a7f770908d6,2022-02-04,2023-02-04,gekündigt
9b47c673df70,2023-01-23,2024-01-23,gekündigt
8809429b9d6f,2020-04-05,2021-04-05,gekündigt
75992adc6545,2024-03-22,2025-03-22,gekündigt
c69a4a92b5fc,2020-03-20,,aktiv
3b618ba4eaad,2022-02-13,2023-02-13,abgelaufen
e8b4d8363365,2021-11-22,,aktiv
5a9c88b32fc8,2021-03-03,,aktiv
284fc8ac75ba,2021-02-12,2022-02-12,gekündigt
f7a7c8ff28de,2024-03-24,2025-03-24,abgelaufen
8567399a57f6,2020-06-23,2021-06-23,gekündigt
efa832227a86,2022-12-09,,aktiv
0936763fcaab,2022-12-05,2023-12-05,gekündigt
e39e5b5d9e2c,2024-05-04,,aktiv
59af109ebdf2,2021-05-25,,aktiv
501bb8454ea6,2022-03-23,,aktiv
e6c1531e9451,2021-08-29,2022-08-29,abgelaufen
667c6f202480,2023-10-04,2024-10-03,abgelaufen
3c06ff632be7,2023-06-21,2024-06-20,gekündigt
b2946f82b6c1,2023-02-27,2024-02-27,abgelaufen
9fc10b52b9a9,2022-12-15,,aktiv
a44f04854f7a,2022-05-04,2023-05-04,abgelaufen
d638e0abbdaf,2021-01-25,2022-01-25,gekündigt
565d0d7d621e,2022-08-09,2023-08-09,gekündigt
bbff66ea93ae,2023-09-29,,aktiv
1251502938ba,2023-02-21,2024-02-21,gekündigt
ee29eaea89f0,2023-04-06,2024-04-05,abgelaufen
0ac0f269615f,2020-09-30,2021-09-30,gekündigt
2dc5a99db5ae,2022-05-25,2023-05-25,gekündigt
9dd116ae6403,2020-04-11,2021-04-11,gekündigt
b3879f91d6f8,2021-05-11,,aktiv
62ea752daf75,2023-03-05,2024-03-04,gekündigt
df9f5fb612c9,2022-02-27,,aktiv
9ef810cd720a,2020-05-04,2021-05-04,gekündigt
742d1aa1ceb4,2023-11-30,2024-11-29,abgelaufen
a1b4b1ebfb18,2023-08-11,,aktiv
3d9b41346bb4,2022-12-03,2023-12-03,gekündigt
33069b287600,2023-09-25,2024-09-24,gekündigt
3c21fd3caac3,2020-07-09,,aktiv
a63365fd2d4b,2023-02-27,2024-02-27,abgelaufen
6ce816a044b5,2023-03-31,2024-03-30,abgelaufen
3017499f6cfe,2021-02-08,,aktiv
017ce22c1da5,2023-08-30,2024-08-29,abgelaufen
e59b8392a6df,2021-02-16,2022-02-16,abgelaufen
ba71a0cf8655,2020-04-18,,aktiv
eb16876aeb2a,2020-12-18,2021-12-18,gekündigt
713c20a5da87,2022-08-31,,aktiv
554af4a622d2,2021-10-12,2022-10-12,abgelaufen
e0725ba8dc21,2021-09-30,2022-09-30,abgelaufen
d56b61aa2ad2,2021-05-27,2022-05-27,abgelaufen
02af9f8c97b3,2021-10-17,2022-10-17,abgelaufen
2f3b8aef6daf,2024-12-26,,aktiv
90004317cf62,2022-08-26,,aktiv
f80dc45b58c1,2020-08-17,2021-08-17,gekündigt
8e3989e34a30,2023-10-25,2024-10-24,gekündigt
287d9d161c4b,2022-07-27,2023-07-27,abgelaufen
8a12d7a492f1,2020-08-11,,aktiv
409dc162901f,2022-10-09,2023-10-09,abgelaufen
5ec68e2f177d,2022-03-10,,aktiv
863d1ebd3179,2023-03-29,2024-03-28,gekündigt
37279140489c,2024-09-27,2025-09-27,gekündigt
f46259db85bd,2021-06-20,2022-06-20,gekündigt
f4b0f72af82e,2024-05-13,2025-05-13,gekündigt
a9e40ef93c45,2023-01-22,2024-01-22,gekündigt
07d5e07119c8,2021-08-05,2022-08-05,gekündigt
34e61f369f08,2020-05-15,2021-05-15,abgelaufen
841646160024,2022-07-21,2023-07-21,gekündigt
ddab98f3cacf,2020-02-24,,aktiv
e95e178c7ef9,2022-02-15,,aktiv
dadf8b7bc6bc,2021-08-11,2022-08-11,gekündigt
b7ea209e122b,2020-03-03,,aktiv
50a741b070b9,2020-05-20,2021-05-20,gekündigt
93cb32da1409,2020-05-20,,aktiv
3f76fd135824,2022-06-25,,aktiv
1dfea2d37a3f,2021-03-15,,aktiv
1d367e295136,2023-10-19,,aktiv
460ce428f1c0,2021-03-27,2022-03-27,abgelaufen
eeaa5d34173b,2020-08-25,2021-08-25,abgelaufen
12b93791d4a6,2020-02-17,2021-02-16,abgelaufen
64e57a556f8f,2023-09-10,2024-09-09,abgelaufen
7132fd53e869,2023-08-01,2024-07-31,abgelaufen
7fd0e55d6898,2023-12-15,,aktiv
03560134c410,2023-04-21,2024-04-20,abgelaufen
a84aa83c5fa7,2023-08-12,2024-08-11,abgelaufen
c0b0812186bb,2020-07-08,2021-07-08,gekündigt
62e0caca66c3,2021-10-02,2022-10-02,abgelaufen
a763d2f8ad71,2021-05-16,2022-05-16,gekündigt
d8ac20320aea,2021-09-16,2022-09-16,abgelaufen
d188827df5f3,2024-06-12,2025-06-12,gekündigt
ceb7591e92d7,2020-11-26,,aktiv
31f68ac02d15,2020-07-26,,aktiv
078bdde1ebd7,2023-02-18,2024-02-18,abgelaufen
a4708d6a0d9b,2022-08-08,2023-08-08,gekündigt
6e0e368bb63b,2022-03-10,2023-03-10,gekündigt
8fa8f3d2b833,2023-03-30,2024-03-29,abgelaufen
c447fae3bc5f,2021-03-21,2022-03-21,abgelaufen
929e9c85d24b,2021-08-18,,aktiv
77b07a05f225,2022-09-26,,aktiv
27a2a5ad471e,2021-05-17,2022-05-17,abgelaufen
9fe18aa4b278,2022-11-21,2023-11-21,gekündigt
ad263b035acb,2020-09-28,,aktiv
5a22d83e54e3,2022-01-15,2023-01-15,gekündigt
766ae269c9e1,2022-12-25,2023-12-25,gekündigt
82cecbbc49b4,2020-08-29,,aktiv
5fe5c2b7d8f8,2020-10-07,2021-10-07,abgelaufen
c4e060dc6952,2022-12-24,2023-12-24,abgelaufen
a7594d73f82c,2021-04-07,2022-04-07,gekündigt
bfc68b95ee44,2022-05-05,2023-05-05,gekündigt
b6195edb6f82,2024-09-02,2025-09-02,abgelaufen
386d1dfb5da6,2023-03-31,2024-03-30,abgelaufen
1950750a0069,2023-09-04,,aktiv
ef8cfad5f673,2020-04-10,2021-04-10,gekündigt
c0c8be3f37a7,2023-07-11,2024-07-10,gekündigt
1774d3da0cd8,2023-10-14,2024-10-13,abgelaufen
6d75d6f04a66,2022-10-20,2023-10-20,abgelaufen
729e72304100,2022-07-24,2023-07-24,gekündigt
dbb0646350eb,2024-01-18,,aktiv
e2bfc6038050,2021-01-30,2022-01-30,abgelaufen
476cbc8550ce,2023-06-16,2024-06-15,gekündigt
b7fa370146dd,2021-05-20,2022-05-20,abgelaufen
dc5e24e72340,2024-05-23,,aktiv
5c05c17e14ba,2022-01-07,,aktiv
afcbcee19af9,2021-08-05,,aktiv
d12f52dbb587,2023-06-01,2024-05-31,abgelaufen
19fd2ee10346,2021-05-20,2022-05-20,abgelaufen
63ad8afd9d2f,2021-11-06,2022-11-06,abgelaufen
be31a6f75af3,2020-11-29,2021-11-29,gekündigt
dc4d29d2b416,2020-01-20,,aktiv
598944cb792e,2021-11-05,,aktiv
1c8a28fdc049,2021-05-08,,aktiv
3fcb72859efd,2021-08-27,2022-08-27,abgelaufen
052caff59a67,2021-11-25,,aktiv
28ea8a9f25ba,2020-10-26,2021-10-26,gekündigt
9b76d2790915,2023-04-23,,aktiv
df26a404ce87,2022-10-30,2023-10-30,gekündigt
bbe2005c1d09,2020-08-11,2021-08-11,gekündigt
24a3888d484e,2022-06-08,,aktiv
1c377f07a1b4,2023-04-15,,aktiv
0571d7b23dc6,2021-09-30,,aktiv
ffbe0efe6c7e,2023-03-22,,aktiv
67eb7d83bae2,2023-09-08,,aktiv
11996b514cad,2023-10-05,,aktiv
474adad1255a,2023-04-10,2024-04-09,gekündigt
24d6be8ab4bb,2023-10-11,,aktiv
222a94b038b4,2022-09-27,,aktiv
fd74cb5b1d99,2022-01-01,2023-01-01,gekündigt
0942cf9bf845,2022-12-08,2023-12-08,gekündigt
29a9e0e13e0a,2021-01-01,2022-01-01,abgelaufen
528ebef852b9,2023-07-25,2024-07-24,abgelaufen
18f872ee4fcd,2023-07-12,2024-07-11,abgelaufen
c883a192b0ff,2024-07-23,2025-07-23,abgelaufen
96d65bf7ae1d,2020-04-27,,aktiv
b0b8275695e8,2023-04-12,2024-04-11,gekündigt
b2a2b51e7eca,2024-01-06,2025-01-05,abgelaufen
63ccd7fdfbb0,2022-05-14,,aktiv
e1768c4299cb,2022-12-23,2023-12-23,abgelaufen
41e2e52ed1ea,2021-05-26,,aktiv
55f32b4695b8,2022-07-11,,aktiv
0a3b2168622a,2024-11-04,2025-11-04,abgelaufen
b532e5a4cca8,2021-09-05,,aktiv
df2270b4d67d,2024-05-29,,aktiv
8577f51bd96b,2024-09-22,2025-09-22,gekündigt
21efb600534d,2020-09-20,2021-09-20,gekündigt
af3a9de0697d,2023-06-26,2024-06-25,abgelaufen
bfa0df49fc9c,2023-08-16,,aktiv
2e5b8c3d6390,2020-07-28,2021-07-28,abgelaufen
0d51a680c624,2022-03-08,2023-03-08,gekündigt
7d4bb5324b33,2021-01-20,2022-01-20,gekündigt
b2d6f02d4b07,2021-01-23,2022-01-23,gekündigt
dc5fa59fc3d3,2021-02-23,2022-02-23,gekündigt
6dd62c43d58f,2021-10-22,2022-10-22,gekündigt
d3e549682cd7,2020-03-02,,aktiv
e8e9044c2304,2023-02-02,2024-02-02,abgelaufen
ffee2032b76e,2023-06-13,2024-06-12,gekündigt
02e46b3b6f2a,2024-06-21,2025-06-21,gekündigt
a3188961bc3b,2023-11-22,2024-11-21,gekündigt
46801c5a2bfb,2020-01-09,2021-01-08,abgelaufen
b2c4df499e87,2024-02-10,2025-02-09,gekündigt
b811effcc501,2020-07-22,2021-07-22,gekündigt
2572d403be02,2024-08-11,2025-08-11,abgelaufen
becd47922285,2022-07-30,,aktiv
9de2d8cc85b7,2023-07-18,2024-07-17,gekündigt
8273a4acd2ec,2020-10-08,2021-10-08,gekündigt
dfc98d1c596f,2021-02-16,2022-02-16,gekündigt
b61cc928f347,2021-07-27,,aktiv
031bf28014d6,2022-07-18,2023-07-18,abgelaufen
051c4fb59d56,2024-12-15,2025-12-15,abgelaufen
38694228249f,2020-01-28,,aktiv
9b2dbc1c3161,2024-09-09,2025-09-09,gekündigt
966f7fbcc09c,2023-06-09,2024-06-08,gekündigt
41f15b983f77,2021-05-07,,aktiv
edaf3bf1e79f,2022-09-03,,aktiv
323ae6f6578a,2020-09-29,,aktiv
c15573771744,2022-06-30,2023-06-30,abgelaufen
70857db835fc,2023-08-23,,aktiv
8a8469e7dc87,2023-12-01,2024-11-30,gekündigt
cc8a83900f93,2023-11-13,2024-11-12,abgelaufen
a57839c850d8,2020-06-30,2021-06-30,abgelaufen
eb791437032a,2020-05-14,2021-05-14,abgelaufen
ccb5b9408b7a,2021-01-13,,aktiv
bd3ab21977ae,2021-05-03,2022-05-03,gekündigt
d5f2fa748eec,2020-01-16,2021-01-15,abgelaufen
db128d0b42db,2022-06-30,2023-06-30,gekündigt
187f26a93487,2023-04-04,2024-04-03,abgelaufen
bca464dae3c2,2021-09-27,2022-09-27,abgelaufen
dc405dafca7c,2023-11-24,2024-11-23,gekündigt
9196c4f6be16,2024-11-30,,aktiv
cb76e69bcc1b,2024-09-05,,aktiv
344bdcf4e521,2024-06-23,2025-06-23,abgelaufen
b816f7f6c25b,2020-09-21,2021-09-21,abgelaufen
c5bf75623196,2020-09-10,,aktiv
2366b7a12b31,2023-01-28,,aktiv
f8b5d93a8134,2023-04-20,2024-04-19,gekündigt
1fea6836ddf5,2022-12-01,2023-12-01,gekündigt
43e4b7d060ee,2024-09-14,2025-09-14,gekündigt
8dd18b73828e,2021-03-27,2022-03-27,gekündigt
6c4317f46a73,2023-08-16,,aktiv
1410ee383968,2022-07-14,,aktiv
df975351c9cb,2020-03-01,,aktiv
3b6c0d97da9d,2022-11-27,2023-11-27,abgelaufen
17e43c4f2c39,2022-05-22,2023-05-22,abgelaufen
222c2ec57b16,2020-04-25,2021-04-25,gekündigt
b77106badfba,2020-03-03,,aktiv
525122ecc5df,2022-10-05,,aktiv
76138d099b9d,2022-10-25,2023-10-25,abgelaufen
73dfa8e3fda1,2024-09-21,2025-09-21,gekündigt
b080e1fa6ea2,2024-09-01,2025-09-01,abgelaufen
193f7478c9f3,2024-05-09,2025-05-09,abgelaufen
b47b763a9eda,2023-01-20,2024-01-20,gekündigt
0dbd67036bef,2021-03-07,,aktiv
464b0896cdb5,2021-02-11,2022-02-11,gekündigt
4db722f2cfa7,2022-11-08,2023-11-08,abgelaufen
a8e80b1c773f,2022-09-12,2023-09-12,gekündigt
b317447a3074,2024-04-12,2025-04-12,gekündigt
8acdf4c831e4,2022-02-21,,aktiv
9416e8b59194,2022-03-20,2023-03-20,gekündigt
b8efbd02338e,2022-11-18,,aktiv
51f8ca500fdd,2020-03-19,2021-03-19,gekündigt
c29744828786,2022-01-15,2023-01-15,gekündigt
798a562340bf,2021-09-25,2022-09-25,abgelaufen
28e62e5f299b,2022-02-02,2023-02-02,abgelaufen
96bdbb3f11b1,2023-05-21,2024-05-20,gekündigt
9f6a3eb15acf,2024-10-03,2025-10-03,abgelaufen
5e2161938915,2024-02-14,,aktiv
f758aa423f48,2024-08-02,2025-08-02,gekündigt
7043758c1452,2021-10-08,,aktiv
02a7960e5638,2022-07-27,,aktiv
72262084c290,2023-05-25,2024-05-24,abgelaufen
4cd250cb6c04,2021-06-20,2022-06-20,gekündigt
2392d5b7e952,2020-08-21,,aktiv
6b24c3148dd5,2021-06-10,2022-06-10,gekündigt
b75e10e3afd1,2022-09-25,2023-09-25,gekündigt
1cc26064ee98,2023-10-18,2024-10-17,gekündigt
9e13050dd08e,2023-05-10,,aktiv
fc175f8e2175,2020-02-18,2021-02-17,gekündigt
a4a3ecb078e4,2022-02-21,2023-02-21,gekündigt
2c1409ae64a5,2022-01-01,2023-01-01,abgelaufen
5b57a108b8a8,2022-12-09,,aktiv
b11a1ef74f54,2021-04-05,2022-04-05,gekündigt
20fc598d1e4f,2020-06-22,2021-06-22,gekündigt
